English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
System Information	System-Informationen	Informations système	Informazioni di Sistema	Järjestelmätiedot	Systeeminformatie	Informacje o systemie	Systemoplysninger	시스템정보	Systeminformation	システムインフォメーション	Información del sistema
Serial number	Seriennummer	Numéro de série	Numero di serie	Sarjanumero	Serienummer	Numer seryjny	Serienummer	일련번호	Serienummer	シリアルナンバー	Número de serie
Console hostname	Hostname der Konsole	Nom d'hôte de la console	Nome Host console	Konsolin isäntänimi	Hostnaam console	Nazwa hosta konsoli	Brugernavn på konsollen	콘솔 호스트 이름	Värdnamn för enheten	コンソールのホスト名	Nombre de host de la consola
Software	Software	Logiciel	Software	Ohjelmisto	Software	Oprogramowanie	Software	소프트웨어	Programvara	ソフトウェア	Software
Platform	Plattform	Plate-forme	Piattaforma	Alusta	Platform	Platforma	Platform	플랫폼	Plattform	プラットホーム	Plataforma
Firmware	Firmware	Firmware	Firmware	Firmware	Firmware	Oprogramowanie układowe	Firmware	펌웨어	Drivrutin	ファームウェア	Firmware
Z head	Z-Kopf	Tête Z	Testa Z	Z-pää	Z kop	Głowica (oś Z)	Z-hoved	z 헤드	Z-huvud	Zヘッド	Cabezal Z
Hardware	Hardware	Matériel	Hardware	Laitteisto	Hardware	Hardware	Hardware	하드웨어	Hårdvara	ハードウェア	Hardware
More info	Mehr Infos	Plus d'infos	Maggiori informazioni	Lisätietoja	Meer info	Więcej informacji	Mere info	더 많은 정보	Mer information	より詳しい情報	Más información
Choose language	Sprache wählen	Choisir la langue	Scegli la lingua	Valitse kieli	Kies taal	Wybierz język	Vælg sprog	언어를 선택하십시오	Välj språk	言語を選択	Elija el idioma
IP Address	IP-Adresse	Adresse IP	Indirizzo IP	IP-osoite	IP-adres	Adres IP	IP-adresse	IP 주소	IP-adress	IPアドレス	Descargar registros
System Info	System-Infos	Informations système	Informazioni di Sistema	Järjestelmätiedot	Systeem Info	Informacje o systemie	Systemoplysninger	시스템 정보	Systeminformation	システム情報	Información del sistema
Download Logs	Protokolle herunterladen	Télécharger les journaux	Scaricare i registri	Lataa lokit	Logboeken downloaden	Pobierz rejestry	Download logfiler	로그 파일을 다운로드 하십시오	Ladda ner loggar	ログのダウンロード	Descargar registros
Reboot	Neustart	Redémarrer	Riavvia	Käynnistä uudelleen	Herstart	Ponowne uruchomienie	Genstart	재부팅	Starta om	リブート	Reiniciar
Exit Software	Software beenden	Quitter le logiciel	Esci dal software	Poistu ohjelmistosta	Software afsluiten	Zamknij konsole	Sluk program	소프트웨어 종료	Avsluta programvaran	ソフトウェアを終了する	Software de salida
Beta Testing	Beta-Test	Test bêta	Beta Testing	Beta-testaus	Bètatest	Testy Beta	Beta-testning	베타 테스트	Betatestning	ベータテスト	Pruebas beta
GRBL Settings	GRBL-Einstellungen	Paramètres GRBL	Impostazioni GRBL	GRBL-asetukset	GRBL Instellingen	Ustawienia GRBL	GRBL-indstillinger	GRBL 설정	GRBL-inställningar	GRBL設定	Ajustes del GRBL
Factory	Werkseinstellungen	Usine	Fabbrica	Tehdasasetukset	Fabriek	Ustawienia domyślne	Fabrik	본사	Fabrik	工場	Fábrica
Update Testing	Update Testen	Test de mise à jour	Aggiornamento Testing	Päivitys Testaus	Bijwerken Testen	Sprawdzanie aktualizacji	Test opdatering	업데이트 테스트	Uppdatera testning	アップデートテスト	Prueba de actualización
Developer	Entwickler	Développeur	Sviluppatore	Kehittäjä	Ontwikkelaar	Deweloper	Udvikler	개발자	Utvecklare	開発者	Desarrollador
Go Back	Zurück gehen	Retour	Indietro	Palaa takaisin	Terug	Powrót	Gå tilbage	되돌아가기	Gå tillbaka	戻る	Volver
CAD / CAM	CAD/CAM	CAO / FAO	CAD / CAM	CAD / CAM	CAD / CAM	CAD / CAM	CAD / CAM	CAD / CAM	CAD/CAM	CAD/CAM	CAD / CAM
Shape Cutter	Formschneider	Shape Cutter	Shape Cutter	Shape Cutter	Vormsnijder	Aplikacja Shape Cutter	Formskærer	형상 절단기	Formfräsning	シェイプカッター	Cortador de formas
Wifi	WLAN	Wifi	Wifi	Wifi	Wifi	WiFi	Wifi	와이파이	Wifi	Wi-Fi	Wifi
Calibrate	Kalibrieren	Calibrer	Calibrazione	Kalibroi	Kalibreren	Kalibracja	Kalibrer	영점조정	Kalibrera	校正する	Calibrar
Update	Aktualisieren	Mettre à jour	Aggiorna	Päivitä	Updaten	Aktualizacja	Opdatér	업데이트	Uppdatera	アップデート	Actualización
Maintenance	Wartung	Maintenance	Manutenzione	Huolto	Onderhoud	Konserwacja	Vedligeholdelse	유지	Underhåll	メンテナンス	Mantenimiento
System Tools	System-Werkzeuge	Outils système	Strumenti di sistema	Järjestelmätyökalut	Systeem Gereedschap	Narzędzia systemowe	Systemværktøjer	시스템 도구	Systemverktyg	システムツール	Herramientas del sistema
Use the arrows to go through the menu, and select an app to get started.	Verwenden Sie die Pfeile, um durch das Menü zu gehen, und wählen Sie eine App aus, um zu beginnen.	Utilisez les flèches pour parcourir le menu, et sélectionnez une application pour commencer.	Usa le frecce per scorrere il menu e seleziona un'app per iniziare.	Siirry valikon läpi nuolinäppäimillä ja valitse sovellus aloittaaksesi.	Gebruik de pijltjes om door het menu te gaan, en kies een app om te beginnen.	Użyj strzałek, aby przejść przez menu. Wybierz aplikację, żeby rozpocząć.	Brug pilene til at gå gennem menuen, og vælg en app for at komme i gang.	화살표를 사용하여 메뉴를 선택하고 시작할 앱을 선택하십시오.	Använd pilarna för att gå igenom menyn och välj en app för att komma igång.	矢印を使用してメニューを移動し、開始するアプリを選択します。	Utiliza las flechas para recorrer el menú y selecciona una aplicación para empezar.
If this is your first time, make sure you use the Wifi, Maintenance, and Calibrate apps to set up SmartBench.	Wenn dies Ihr erstes Mal ist, stellen Sie sicher, dass Sie die Apps "WLAN", "Wartung" und "Kalibrieren" verwenden, um SmartBench einzurichten.	Si c'est votre première utilisation, assurez-vous d'utiliser les applications Wifi, Maintenance et Calibrer pour configurer SmartBench.	Se è il primo utilizzo assicurati di usare le app Wifi, Manutenzione e Calibrazione per impostare SmartBench.	Jos tämä on ensimmäinen käyttökerta, varmista, että käytät SmartBenchin määrittämiseen Wifi-, Huolto- ja Kalibroi-sovelluksia.	Als dit uw eerste keer is, zorg er dan voor dat u de Wifi, Onderhoud, en Kalibreren apps gebruikt om SmartBench in te stellen.	Jeżeli jest to pierwsze uruchomienie, sprawdź jak skonfigurować SmartBench wykorzystując aplikacje: WiFi, Konserwacja oraz Kalibracja.	Hvis det er første gang, du bruger maskinen, skal du sørge for at bruge appsne Wifi, Vedligeholdelse og Kalibrer til at konfigurere SmartBench.	처음인 사용자의 경우 와이파이, 유지관리 및 앱을 교정하여 SmartBench를 설정하십시오.	Om det här är första gången, se till att du använder apparna Wifi, Underhåll och Kalibrera för att ställa in SmartBench.	初めての場合は、必ず Wifi、メンテナンス、および調整アプリを使用して SmartBench をセットアップしてください。	Si es la primera vez, asegúrese de utilizar las aplicaciones Wifi, Mantenimiento y Calibración para configurar SmartBench.
and	und	et	e	ja	en	i	og	그리고	och	そして	y
For more help, please visit:	Für weitere Hilfe, besuchen Sie bitte:	Pour plus d'aide, veuillez visiter :	Per ulteriore aiuto, visita:	Lisätietoja saat osoitteesta:	Voor meer hulp, ga naar:	Aby uzyskać pomoc, odwiedź stronę:	For mere hjælp se da:	더 많은 도움을 받으려면 다음을 방문하십시오.	Mer hjälp finns på följande webbplats:	さらに詳しいヘルプが必要な場合は、次のサイトを参照してください。	Para obtener más ayuda, visite:
Ok	Ok	Ok	Ok	Ok	Ok	Ok	Ok	좋아요	Ok	わかりました	Ok
Remind me later	Erinnern Sie mich später	Me rappeler plus tard	Ricordamelo più tardi	Muistuta minua myöhemmin	Herinner mij later	Przypomnij mi później	Påmind mig senere	나중에 다시 알림	Påminn mig senare	後で思い出してください	Recuérdamelo más tarde
Welcome to SmartBench	Willkommen bei SmartBench	Bienvenue sur votre SmartBench	Benvenuto in Smartbench	Tervetuloa SmartBenchiin	Welkom bij SmartBench	Witamy w SmartBench	Velkommen til SmartBench	SmartBench에 오신 것을 환영합니다	Välkommen till SmartBench	スマートベンチへようこそ	Bienvenido a SmartBench
Information	Informationen	Information	Informazioni	Tietoja	Informatie	Informacje	Oplysninger	정보	Information	情報	Información
New software update available for download!	Neues Software-Update zum Download verfügbar!	Nouvelle mise à jour du logiciel à télécharger !	Nuovo aggiornamento software disponibile per il download!	Uusi ohjelmistopäivitys ladattavissa!	Nieuwe software-update beschikbaar om te downloaden!	Dostępna jest najnowsza aktualizacja oprogramowania!	Ny softwareopdatering er tilgængelig til download!	다운로드 할 수있는 새로운 소프트웨어 업데이트!	Ny programuppdatering finns tillgänglig för nedladdning!	新しいソフトウェアアップデートがダウンロード可能になりました！	Nueva actualización de software disponible para su descarga.
Please use the Update app to get the latest version.	Bitte verwenden Sie die Aktualisieren-App, um die neueste Version zu erhalten.	Veuillez utiliser l'application Mettre à jour pour obtenir la dernière version.	Usa l'app Aggiorna per scaricare l'ultima versione.	Käytä päivityssovellusta saadaksesi uusimman version.	Gebruik de Updaten app om de laatste versie te krijgen.	Pobierz najnowsze oprogramowanie przez aplikację Aktualizacja.	Brug venligst opdateringsappen for at få den nyeste version.	업데이트 앱을 사용하여 최신 버전을 설치 하세요	Använd appen Uppdatera för att få den senaste versionen.	最新バージョンを入手するには、アップデート アプリを使用してください。	Por favor, utiliza la aplicación Update para obtener la última versión.
app to get the latest version.	App, um die aktuellste Version herunterzuladen.	application Update pour obtenir la dernière version.	app per scaricare l'ultima versione.	sovellusta saadaksesi uusimman version.	app om de laatste versie te krijgen.	Aplikacja do pobrania najnowszego oprogramowania.	appen for at få den nyeste version.	최신 버전 다운로드 앱.	appen för att få den senaste versionen.	アプリを使用して最新バージョンを入手してください。	Aplicación para obtener la última versión.
The console will close any critical processes and shut down safely after 60 seconds, ready for power off.	Die Konsole schaltet sich nach 60 Sekunden sicher ab und ist bereit zum Ausschalten.	La console ferme tous les processus critiques et s'éteint en toute sécurité après 60 secondes, prête à être mise hors tension.	La console arresterà qualsiasi processo critico e si spegnerà in modo sicuro dopo 60 secondi, pronta per lo spegnimento.	Konsoli sulkee kaikki kriittiset prosessit ja sammuu turvallisesti 60 sekunnin kuluttua, valmiina virrankatkaisuun.	De console zal alle kritieke processen afsluiten en na 60 seconden veilig afsluiten, klaar voor uitschakeling.	Konsola zamknie wszystkie krytyczne procesy i wyłączy się po 60 sekundach. Po tym czasie będzie gotowa do centralnego wyłączenia.	Konsollen lukker alle kritiske processer og lukker sikkert ned efter 60 sekunder, så den er klar til at slukke for strømmen.	콘솔은 종료 스위치로 닫고 60 초 후에 안전하게 전원을 차단하여 끄질 수 있습니다.	Konsolen stänger alla kritiska processer och stänger av på ett säkert sätt efter 60 sekunder och är då redo för avstängning.	コンソールは重要なプロセスをすべて閉じ、60 秒後に安全にシャットダウンし、電源を切る準備が整います。	La consola cerrará cualquier proceso crítico y se apagará de forma segura después de 60 segundos, lista para el apagado.
This extends the lifetime of the console.	Dadurch wird die Lebensdauer der Konsole verlängert.	Cela prolonge la durée de vie de la console.	Questo prolunga la durata di vita della console.	Tämä pidentää konsolin käyttöikää.	Dit verlengt de levensduur van de console.	Wydłuża to żywotność konsoli.	Dette forlænger konsollens levetid.	이것은 콘솔의 수명을 연장합니다.	Detta förlänger konsolens livslängd.	これにより、コンソールの寿命が延びます。	Esto prolonga la vida útil de la consola.
You will still need to power down your machine separately after the console has finished shutting down.	Sie müssen Ihre SmartBench nach dem Herunterfahren der Konsole immer noch separat ausschalten.	Vous devrez toujours éteindre votre machine séparément après que la console ait fini de s'éteindre.	Dovrai comunque spegnere la tua macchina separatamente dopo che la console ha finito di spegnersi.	Sinun on silti sammutettava koneesi erikseen sen jälkeen, kun konsoli on lopettanut sammuttamisen.	U moet uw machine nog steeds apart uitschakelen nadat de console klaar is met afsluiten.	Po wyłączeniu konsoli należy wyłączyć SmartBench wyłącznikiem głównym.	Du skal stadig slukke for din maskine separat, når konsollen er færdig med at lukke ned.	콘솔이 종료 된 후에도 여전히 컴퓨터에 전원을 공급해야합니다.	Du måste fortfarande stänga av maskinen separat efter att konsolen stängt av sig.	本体のシャットダウンが完了した後も、マシンの電源を個別にオフにする必要があります。	Deberás apagar tu máquina por separado después de que la consola haya terminado de apagarse.
Shutdown now	Jetzt herunterfahren	Arrêter maintenant	Spegni ora	Sammuta nyt	Nu afsluiten	Wyłącz SmartBench	Sluk nu	지금 종료	Avsluta nu	今すぐシャットダウンしてください	Apagar ahora
Cancel	Abbrechen	Annuler	Annulla	Peruuta	Annuleren	Anuluj	Annuller	취소	Avbryt	キャンセル	Cancelar
Shutting down	Herunterfahren	Arrêter	Spegnimento	Sammuttaminen	Uitschakelen	Wyłączanie SmartBench	Slukker	종료	Stänga ner	シャットダウン中	Cierre
Load a file	Datei laden	Charger un fichier	Carica un File	Lataa tiedosto	Een bestand laden	Wczytaj plik	Indlæs en fil	파일을 로드 하십시오	Ladda en fil	ファイルをロードする	Cargar un archivo
Tap the file chooser in the first tab (top left) to load a file.	Tippen Sie auf die Dateiauswahl in der ersten Registerkarte (oben links), um eine Datei zu laden.	Touchez l'explorateur de fichiers dans le premier onglet (en haut à gauche) pour charger un fichier.	Tocca la prima scheda in alto a sinistra per caricare un file	Lataa tiedosto napauttamalla ensimmäisen välilehden (ylhäällä vasemmalla) tiedostovalitsinta.	Tik op de bestandkiezer in het eerste tabblad (linksboven) om een bestand te laden.	Naciśnij Eksplorator plików, aby wczytać program (pierwsza zakładka u góry po lewej stronie).	Tryk på filvælgeren i den første fane (øverst til venstre) for at indlæse en fil.	첫 번째 탭(왼쪽상단)에서 파일선택기를 탭하여 파일을 로드 하십시오.	Tryck på filväljaren i den första fliken (uppe till vänster) för att ladda en fil.	最初のタブ (左上) のファイル選択ボタンをタップして、ファイルをロードします。	Pulse el selector de archivos de la primera pestaña (arriba a la izquierda) para cargar un archivo.
Before running, a file needs to be loaded.	Vor der Ausführung muss eine Datei geladen werden.	Avant de s'exécuter, un fichier doit être chargé.	Prima dell'esecuzione è necessario caricare un file.	Ennen käynnistämistä tiedosto on ladattava.	Alvorens te starten, moet een bestand geladen worden.	Przed uruchomieniem programu, plik musi zostać wczytany.	Før du kører, skal en fil indlæses.	실행하기 전에 파일을 로드해야 합니다.	Innan programmet körs måste en fil laddas.	実行する前に、ファイルをロードする必要があります。	Antes de ejecutar, es necesario cargar un archivo.
axis	Achse	axe	asse	axis	as	oś	akse	중심선	axel	軸	eje
datum	Nullpunkt	point d'origine	l'origine	nollapisteen	nulpunt	punkt odniesienia	nulpunkt	기준	Nollpunkt	データム	dato
further away from home	weiter weg vom Nullpunkt	plus loin de l'origine	più distante dalla HOME	kauempana kotipisteestä	verder weg van huis	Oddal od pozycji bazowania	længere væk fra hjemmet	홈에서 멀리 떨어져 있습니다	längre bort från hemmaläget	家からさらに遠くへ	más lejos del inicio
You may need to set a new Z datum before you start a new job!	Möglicherweise müssen Sie einen neuen Z-Nullpunkt setzen, bevor Sie einen neuen Auftrag starten!	Vous devrez peut-être définir un nouveau point de référence Z avant de commencer un nouveau travail !	Potrebbe essere necessario settare nuovamente l'asse Z prima di iniziare un nuovo lavoro!	Sinun on ehkä asetettava uusi Z-datum ennen uuden työn aloittamista!	Misschien moet u een nieuw Z-nulpunt instellen voordat u een nieuwe baan start!	Przed rozpoczęciem nowego programu może być konieczne ustawienie nowego punktu odniesienia w osi Z !	Det kan være nødvendigt at indstille et nyt Z-nulpunkt, før du starter et nyt job!	새로운 작업전 새 Z 기준을 설정해야 할 수도 있습니다!	Du kan behöva ställa in Z-nollpunkten innan du börjar nytt jobb	新しいジョブを開始する前に、新しい Z データを設定する必要がある場合があります。	Es posible que tenga que establecer un nuevo punto de referencia Z antes de empezar un nuevo trabajo.
Press Ok to clear this reminder.	Drücken Sie Ok, um diese Erinnerung zu löschen.	Appuyez sur Ok pour effacer ce rappel.	Premi Ok per cancellare questo promemoria.	Poista tämä muistutus painamalla Ok.	Druk op Ok om deze herinnering te wissen.	Naciśnij OK aby usunąć przypomnienie.	Tryk på Ok for at slette denne påmindelse.	이 알림을 지우려면 확인을 누르십시오.	Tryck på Ok för att radera denna påminnelse.	このリマインダーをクリアするには、[OK] を押します。	Pulse Ok para borrar este recordatorio.
Job is not within machine bounds!	Job liegt nicht innerhalb der Maschinengrenzen!	Le travail n'est pas dans les limites de la machine !	Il lavoro non rientra nei limiti della macchina!	Työ ei ole koneen rajojen sisällä!	Job valt niet binnen de machinegrenzen!	Zadanie znajduje się poza obszarem roboczym SmartBench!	Job er ikke inden for maskinens grænser!	작업 범위가 기계 범위 내에 있지 않습니다!	Jobbet ligger inte inom maskinens parameterar	ジョブはマシンの範囲内にありません!	¡El trabajo no está dentro de los límites de la máquina!
Please set datum appropriately, so that job boundaries are within SmartBench limits.	Bitte setzen Sie den Bezugspunkt entsprechend, so dass die Jobgrenzen innerhalb der SmartBench-Grenzen liegen.	Veuillez définir le point de référence de manière appropriée, afin que les limites du travail soient dans les limites de SmartBench.	Si prega di impostare l'origine in modo appropriato, in modo che i confini del lavoro rientrino nei limiti di SmartBench.	Aseta datum asianmukaisesti, jotta työn rajat ovat SmartBenchin rajojen sisällä.	Stel a.u.b. het nulpunt juist in, zodat de grenzen van de job binnen de SmartBench grenzen liggen.	Proszę ustaw odpowiedni punkt odniesienia, tak aby mieścił się w polu roboczym SmartBench.	Indstil datoerne korrekt, så jobgrænserne ligger inden for SmartBench-grænserne.	작업경계가 SmartBench 한도내에 있도록 기준을 적절하게 설정하십시오.	Ställ in nollpunkten på rätt sätt så att inga parametrar ligger utanför Smartbench arbetsyta	ジョブの境界が SmartBench の制限内に収まるように、データムを適切に設定してください。	Por favor, establezca los datos adecuadamente, para que los límites del trabajo estén dentro de los límites de SmartBench.
DETAILS OF BOUNDARY CONFLICT	DETAILS ZUM BEGRENZUNGSKONFLIKT	DÉTAILS DU CONFLIT DE LIMITES	DETTAGLI DEL CONFLITTO DI CONFINI	RAJARISTIRIIDAN YKSITYISKOHDAT	DETAILS VAN GRENSCONFLICT	SZCZEGÓŁY KONFLIKTU OBSZARU ROBOCZEGO	OPLYSNINGER OM GRÆNSEKONFLIKT	범위 충돌의 세부 사항	Detaljer ang konflikter i arbetsytans parametrar	境界紛争の詳細	DETALLES DEL CONFLICTO DE LÍMITES
closer to home	näher am (Maschinen-)Nullpunkt	plus près de l'origine	più vicino alla HOME	lähempänä kotia	dichter bij huis	Bliżej pozycji bazowania	tættere på hjem	홈에 더 가깝습니다	Närmare maskinens hemläge	家に近い	más cerca de casa
Job Outside Machine Limits	Job außerhalb der Maschinengrenzen	Travail en dehors des limites de la machine	Il lavoro eccede il perimetro macchina	Työ koneen rajojen ulkopuolella	Taak buiten de machinegrenzen	Program poza obszarem roboczym SmartBench	Job uden for maskinens grænser	기계 제한 범위 밖의 작업	Jobb utanför maskinens arbetsyta	マシンの制限外のジョブ	Trabajo fuera de los límites de la máquina
Return	Zurück	Retour	Ritorna	Palauta	Terug	Powrót	Returner	되돌아가기	Tillbaka	戻る	Volver
