English,___ (KOR),Deutsche (DE),français (FR),italiano (IT)
System Information,___ __,System Information,Informations sur le système,Informazioni di sistema
Serial number,__ __,Ordnungsnummer,Numéro de série,Numero di serie
Console serial number,__ __ __,Konsole Seriennummer,Console numéro de série,numero di serie console
Software,_____,Software,Logiciel,Software
Platform,___,Plattform,Plate-forme,piattaforma
Firmware,___,Firmware,firmware,firmware
Z head,Z __,Z Kopf,tête Z,testa Z
Hardware,____,Hardware,Matériel,Hardware
More info,_ __ __,Mehr Info,Plus d'informations,Ulteriori informazioni
Choose language,___ _____,Sprache wählen,Choisissez la langue,Scegli la lingua
